종목코드,종목명,현재가,NAV,3개월수익률,거래량,거래대금,시가총액(억),등락률
069500,KODEX 200,110355,110570.0,-15.2537,26775118,3017490,256244,-0.42
360750,TIGER 미국S&P500,25635,25735.0,-10.8243,35601186,912823,201632,-0.1
133690,TIGER 미국나스닥100,175690,175859.0,-14.2709,5543034,975844,113882,-0.13
102110,TIGER 200,110620,110827.0,-15.0561,14479953,1636450,103540,-0.37
379800,KODEX 미국S&P500,23305,23393.0,-10.7867,21503581,501213,99839,-0.06
396500,TIGER 반도체TOP10,37235,37297.0,-25.1943,13046340,498869,99362,0.45
379810,KODEX 미국나스닥100,26270,26293.0,-14.2131,21844894,575078,90382,-0.11
488770,KODEX 머니마켓액티브,105460,105459.0,0.856,513198,54120,79889,0.01
278530,KODEX 200TR,39975,40044.0,-15.1743,1115389,45564,78311,-0.47
459580,KODEX CD금리액티브(합성),1074120,1074318.0,0.7243,739206,793994,65328,0.01
122630,KODEX 레버리지,112065,112331.0,-40.4494,17250738,2015360,62252,-0.87
498400,KODEX 200타겟위클리커버드콜,20875,20883.0,-15.5782,7760803,165196,59953,0.1
091160,KODEX 반도체,131550,131829.0,-16.5289,1736917,234327,57553,0.27
0167A0,SOL AI반도체TOP2플러스,17795,17837.0,-21.1577,14808035,270988,56650,-1.03
381180,TIGER 미국필라델피아반도체나스닥,41410,41052.0,-23.2885,1664998,69308,56090,0.49
229200,KODEX 코스닥150,13730,13809.0,-20.0798,23315563,327053,46373,-2.14
148020,RISE 200,111205,111404.0,-15.2091,818055,93039,45205,-0.39
310970,TIGER MSCI Korea TR,49435,49420.0,-15.2575,14984,754,44838,-0.05
458730,TIGER 미국배당다우존스,14655,14779.0,-6.9,2462521,36066,42280,-0.17
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,13680,13702.0,-4.844,8630935,119528,41943,0.22
395160,KODEX AI반도체TOP2플러스,40560,40644.0,-16.1724,5485954,228746,41290,-0.7
411060,ACE KRX금현물,26690,26663.0,-11.6029,783269,20988,39821,0.09
360200,ACE 미국S&P500,25920,26016.0,-10.7991,1224194,31705,38880,-0.06
381170,TIGER 미국테크TOP10 INDXX,30250,30298.0,-12.9662,534434,16174,37389,-0.3
395270,HANARO Fn K-반도체,57695,57791.0,-16.2054,1587514,94122,36406,-0.73
423160,KODEX KOFR금리액티브(합성),110725,110719.0,0.6885,62284,6896,35734,0.0
357870,TIGER CD금리투자KIS(합성),58020,58020.0,0.7554,203793,11824,35531,0.0
273130,KODEX 종합채권(AA-이상)액티브,109825,109796.0,-0.1909,15186,1668,34240,-0.01
233740,KODEX 코스닥150레버리지,6615,6601.0,-45.6265,58327358,402210,34107,-4.13
367380,ACE 미국나스닥100,30205,30230.0,-14.1611,365238,11040,33981,-0.1
102780,KODEX 삼성그룹,26275,26306.0,-15.2164,392165,10527,33790,-1.76
0043B0,TIGER 머니마켓액티브,103590,103590.0,0.8913,119214,12349,33047,0.02
487240,KODEX AI전력핵심설비,35400,35456.0,-15.7611,3058137,111345,30940,-3.05
455890,RISE 머니마켓액티브,55505,55506.0,0.8265,121013,6716,29224,0.01
139260,TIGER 200 IT,139165,139277.0,-18.2018,319772,45615,27583,-1.23
0193T0,KODEX SK하이닉스단일종목레버리지,11120,11230.0,-52.6555,36678835,430322,26149,1.41
472150,TIGER 배당커버드콜액티브,20647,20663.0,-13.7859,5545027,116542,26065,-0.14
481050,KODEX CD1년금리플러스액티브(합성),1022280,1022281.0,0.7799,36724,37542,25117,0.01
426030,TIME 미국나스닥100액티브,45325,45212.0,-22.2404,639526,29224,24630,0.22
161510,PLUS 고배당주,25350,25400.0,-2.7441,824747,21042,24230,-0.78
278540,KODEX MSCI Korea TR,39340,39342.0,-15.1744,41718,1664,24115,-0.18
449170,TIGER KOFR금리액티브(합성),111810,111805.0,0.6708,45536,5091,24037,0.01
486290,TIGER 미국나스닥100타겟데일리커버드콜,10230,10233.0,-14.3047,3030844,31021,23749,-0.15
385540,RISE 종합채권(A-이상)액티브,102915,102912.0,-0.1117,3122,321,20841,0.02
292150,TIGER 코리아TOP10,38880,38952.0,-15.0887,573875,22802,20840,0.1
456600,TIME 글로벌AI인공지능액티브,57200,57316.0,-17.7835,207185,11995,20764,-1.02
284430,KODEX 200미국채혼합50,20785,20795.0,-13.4827,569837,11946,20137,-0.07
294400,KIWOOM 200TR,145000,145134.0,-15.1355,326717,48390,18560,-0.36
214980,KODEX 단기채권PLUS,114680,114692.0,0.7359,24362,2793,18091,0.01
