종목코드,종목명,현재가,등락률,3개월수익률,시가총액(억),배당수익률,총보수,NAV,거래량,거래대금
069500,KODEX 200,111865.0,-0.2096342551293488,-13.713845476362,259526.8,0.7576,0.16,111817.88,23773690.0,26386.3275548
360750,TIGER 미국S&P500,25425.0,-0.13747054202670855,-8.262555354905,200971.9125,0.995,0.06,25383.96,45881467.0,11649.16430342
396500,TIGER 반도체TOP10,38220.0,0.23603461841070023,-23.203975770238,101818.08,0.1969,0.51,38183.14,13031976.0,4947.45831564
379800,KODEX 미국S&P500,23115.0,-0.10803802938634399,-8.270752077965,99556.305,2.0724,0.07,23073.5,24911470.0,5748.83612472
488770,KODEX 머니마켓액티브,105480.0,0.014222727919214905,0.85446198878,80124.7176,1.4204,0.06,105490.57,748294.0,789.29289204
498400,KODEX 200타겟위클리커버드콜,21170.0,-0.047214353163361665,-13.149678345956,61181.3,14.1108,0.42,21134.65,6518310.0,1368.73348101
091160,KODEX 반도체,136920.0,0.9734513274336283,-14.594387546534,59080.98,0.0848,0.46,136470.89,1735047.0,2354.4803748
458730,TIGER 미국배당다우존스,14445.0,-0.3105590062111801,-5.278870826099,41861.61,2.9833,0.06,14428.65,1554092.0,224.26755863
411060,ACE KRX금현물,26800.0,0.7897705904475366,-9.12256008567,39985.6,0.0038,0.31,26722.69,1015180.0,270.90146442
381170,TIGER 미국테크TOP10 INDXX,29970.0,-0.3988035892323031,-9.80316477814,36982.98,0.2568,0.55,29988.12,1538076.0,460.37507312
161510,PLUS 고배당주,25310.0,0.07908264136022143,-1.767479178166,24229.263,4.0843,0.28,25272.78,426844.0,107.64315679
486290,TIGER 미국나스닥100타겟데일리커버드콜,10155.0,-0.29455081001472755,-11.378831909253,24011.4975,16.1213,0.34,10166.16,1450561.0,147.13936923
441640,KODEX 미국배당커버드콜액티브,12270.0,-0.08143322475570032,-6.177422843376,16644.255,9.6183,0.26,12244.74,708399.0,86.79218693
329200,TIGER 리츠부동산인프라,4035.0,-0.12376237623762376,6.614672169867,15423.7875,9.8383,0.12,4035.03,2053602.0,82.91198205
0072R0,TIGER KRX금현물,12765.0,0.23557126030624265,-9.117853554931,11852.3025,0.0079,0.27,12770.8,640962.0,81.48331335
494300,KODEX 미국나스닥100데일리커버드콜OTM,8690.0,-0.3440366972477064,-15.269081406086,9932.67,23.2199,0.35,8701.55,790838.0,68.64717476
466940,TIGER 은행고배당플러스TOP10,26860.0,-0.09298865538404315,7.160822603073,8447.47,3.7201,0.36,26926.6,440763.0,118.29749502
0091P0,TIGER 코리아원자력,19055.0,0.0,4.098075603991,6650.195,0.1838,0.56,19008.91,2629614.0,488.71153625
489250,KODEX 미국배당다우존스,12455.0,-0.28022417934347477,-5.271758849808,5866.305,2.9739,0.08,12435.17,339304.0,42.1968548
494670,TIGER 조선TOP10,22160.0,-0.8501118568232662,-14.011197842821,5684.04,0.8281,0.41,22109.5,469758.0,104.44630304
462010,TIGER 2차전지소재Fn,5070.0,0.0,-14.948609861791,5511.09,0.1969,0.45,5105.75,3189782.0,160.36248147
491620,RISE 미국테크100데일리고정커버드콜,10065.0,-0.3958436417615042,-9.737048009865,5460.2625,22.2722,0.34,10077.33,445907.0,44.83755538
0105E0,SOL 코리아고배당,13055.0,0.8497489378138278,-3.992178849554,5385.1875,4.9071,0.2,13058.02,258569.0,33.56968697
463250,TIGER K방산&우주,33550.0,1.5589526260027244,-10.237296116277,5049.275,0.1666,0.51,33427.07,177707.0,58.61844943
476800,KODEX 한국부동산리츠인프라,4235.0,0.1182033096926714,2.833274810993,4885.0725,8.5198,0.12,4241.4,351557.0,14.86260942
0080G0,KODEX 방산TOP10,10165.0,1.3965087281795512,-9.493044936727,3517.09,0.0499,0.52,10143.51,1922933.0,192.14018649
279530,KODEX 고배당주,17665.0,-0.4788732394366197,0.821974753061,3497.67,4.1157,0.36,17706.46,94096.0,16.63062423
385510,KODEX 신재생에너지액티브,39435.0,-1.19017790027562,-6.953786159793,3430.845,0.0251,0.56,39229.48,60294.0,23.45931158
0098F0,KODEX 원자력SMR,17640.0,-0.5356639413588948,2.507171609679,3069.36,0.328,0.51,17659.29,1082913.0,186.32153433
091170,KODEX 은행,16500.0,0.5484460694698354,9.282575097047,2937.0,3.7158,0.31,16478.52,627860.0,103.15577927
481190,SOL 미국테크TOP10,16280.0,-0.3671970624235006,-9.581917038238,2759.46,0.2334,0.14,16284.58,212408.0,34.52224708
0089D0,KODEX 금융고배당TOP10,13460.0,0.29806259314456035,2.781545458908,2274.74,3.7031,0.33,13474.44,119758.0,16.08126436
461950,KODEX 2차전지핵심소재10,5165.0,-0.6730769230769231,-12.719992442486,1854.235,0.3656,0.49,5191.47,1230115.0,63.09620293
377990,TIGER Fn신재생에너지,24680.0,-2.238066943949297,-11.792838860249,1221.66,0.712,0.56,24665.2,53114.0,13.04523558
468380,KODEX iShares미국하이일드액티브,10560.0,0.0,-10.676488299585,883.872,7.355,0.17,10552.73,144824.0,15.26840506
445150,KODEX 친환경조선해운액티브,28495.0,-0.6103941402162539,-9.037285931064,527.1575,0.5094,0.56,28447.76,7180.0,2.04128634
139270,TIGER 200 금융,17170.0,0.32135553607946243,0.68365722101,319.362,2.4465,0.44,17205.17,36400.0,6.23740646
